feature_index,feature_name,component,feature_type,coefficient,abs_coefficient,nonzero
252,w_36,36,weight,1.2795089300643374,1.2795089300643374,True
581,w_83,83,weight,0.9047710900964253,0.9047710900964253,True
1925,w_275,275,weight,-0.8378528834412532,0.8378528834412532,True
1502,cyy_214,214,diagonal,0.6854150812212714,0.6854150812212714,True
1395,cxy_199,199,off_diagonal,-0.5791141727254433,0.5791141727254433,True
921,cyy_131,131,diagonal,0.5618229221559675,0.5618229221559675,True
1827,w_261,261,weight,-0.5429633149534524,0.5429633149534524,True
1931,czz_275,275,diagonal,0.5214885808377426,0.5214885808377426,True
2625,w_375,375,weight,-0.5157793174060892,0.5157793174060892,True
2621,cxz_374,374,off_diagonal,0.5095452311597245,0.5095452311597245,True
1504,czz_214,214,diagonal,0.4859785052436245,0.4859785052436245,True
3222,cxy_460,460,off_diagonal,-0.47737318919450644,0.47737318919450644,True
1709,cxx_244,244,diagonal,-0.47728814196952213,0.47728814196952213,True
1552,cyz_221,221,off_diagonal,-0.4751262639169,0.4751262639169,True
2051,w_293,293,weight,0.4518222107882437,0.4518222107882437,True
525,w_75,75,weight,-0.44530441681680133,0.44530441681680133,True
204,cxx_29,29,diagonal,0.4300836469908271,0.4300836469908271,True
2254,w_322,322,weight,0.4295116652991588,0.4295116652991588,True
399,w_57,57,weight,-0.42067673235054137,0.42067673235054137,True
2627,cxy_375,375,off_diagonal,-0.4096423357279081,0.4096423357279081,True
1928,cxz_275,275,off_diagonal,-0.402809876045013,0.402809876045013,True
1927,cxy_275,275,off_diagonal,-0.39715506731913225,0.39715506731913225,True
2899,cxx_414,414,diagonal,-0.39525278238625833,0.39525278238625833,True
1100,cxx_157,157,diagonal,0.37656010531744283,0.37656010531744283,True
2289,w_327,327,weight,-0.373326023356385,0.373326023356385,True
1829,cxy_261,261,off_diagonal,0.3603701746928412,0.3603701746928412,True
791,w_113,113,weight,0.34055090000859156,0.34055090000859156,True
1085,w_155,155,weight,0.33989851850647773,0.33989851850647773,True
648,cyy_92,92,diagonal,0.3333353436864036,0.3333353436864036,True
910,w_130,130,weight,0.3305705909271081,0.3305705909271081,True
1428,w_204,204,weight,-0.329984004762303,0.329984004762303,True
2993,cyy_427,427,diagonal,-0.3284036875468805,0.3284036875468805,True
1738,cxy_248,248,off_diagonal,0.31673043141391405,0.31673043141391405,True
2531,cyy_361,361,diagonal,0.31489099541953497,0.31489099541953497,True
1399,czz_199,199,diagonal,-0.30977025348374904,0.30977025348374904,True
827,cxx_118,118,diagonal,0.30837175690475715,0.30837175690475715,True
634,cyy_90,90,diagonal,0.30382926800543825,0.30382926800543825,True
2853,cyy_407,407,diagonal,-0.2995835717252142,0.2995835717252142,True
3045,w_435,435,weight,-0.2970051091583692,0.2970051091583692,True
3389,cxx_484,484,diagonal,-0.29406079087917814,0.29406079087917814,True
1397,cyy_199,199,diagonal,0.2907190074309994,0.2907190074309994,True
35,w_5,5,weight,-0.28829674575266007,0.28829674575266007,True
2248,cxx_321,321,diagonal,-0.2826627631410872,0.2826627631410872,True
344,cxx_49,49,diagonal,-0.2786320449223565,0.2786320449223565,True
2507,cxx_358,358,diagonal,-0.27413472794057087,0.27413472794057087,True
878,cxz_125,125,off_diagonal,-0.2739312238979531,0.2739312238979531,True
2493,cxx_356,356,diagonal,-0.27313338128991715,0.27313338128991715,True
546,w_78,78,weight,0.27065357047956673,0.27065357047956673,True
1198,cxx_171,171,diagonal,0.27036319924729946,0.27036319924729946,True
1302,w_186,186,weight,-0.2650671058804937,0.2650671058804937,True
1770,czz_252,252,diagonal,0.2632648313713761,0.2632648313713761,True
2757,czz_393,393,diagonal,0.2619767467872113,0.2619767467872113,True
1807,cxx_258,258,diagonal,0.26141032906760625,0.26141032906760625,True
2579,cxz_368,368,off_diagonal,0.2606548822348737,0.2606548822348737,True
1086,cxx_155,155,diagonal,-0.26001714212531624,0.26001714212531624,True
1149,cxx_164,164,diagonal,-0.25975174991245736,0.25975174991245736,True
446,cyz_63,63,off_diagonal,0.25881926713206277,0.25881926713206277,True
65,cxy_9,9,off_diagonal,-0.25417296730564226,0.25417296730564226,True
69,czz_9,9,diagonal,-0.25186447144622537,0.25186447144622537,True
678,czz_96,96,diagonal,-0.2510393529049278,0.2510393529049278,True
1525,czz_217,217,diagonal,-0.24983326930531416,0.24983326930531416,True
1087,cxy_155,155,off_diagonal,-0.2489365673351282,0.2489365673351282,True
189,w_27,27,weight,-0.24883447898239455,0.24883447898239455,True
