feature_index,feature_name,component,feature_type,importance
2618,w_374,374,weight,0.17467591
1428,w_204,204,weight,0.077862196
1927,cxy_275,275,off_diagonal,0.04398794
1925,w_275,275,weight,0.04192775
189,w_27,27,weight,0.023752918
161,w_23,23,weight,0.01782105
2156,w_308,308,weight,0.016143257
3283,w_469,469,weight,0.013018803
1500,cxy_214,214,off_diagonal,0.0129939625
3318,w_474,474,weight,0.009372279
2338,w_334,334,weight,0.00871853
1502,cyy_214,214,diagonal,0.008470579
1771,w_253,253,weight,0.008413934
526,cxx_75,75,diagonal,0.007716443
1397,cyy_199,199,diagonal,0.007418725
254,cxy_36,36,off_diagonal,0.0067067854
1172,cxz_167,167,off_diagonal,0.0064134677
1709,cxx_244,244,diagonal,0.006405068
2107,w_301,301,weight,0.0062803454
919,cxy_131,131,off_diagonal,0.0059870696
42,w_6,6,weight,0.005933195
2912,w_416,416,weight,0.0057460177
1568,w_224,224,weight,0.005575336
1463,w_209,209,weight,0.0052835536
2108,cxx_301,301,diagonal,0.0044321604
678,czz_96,96,diagonal,0.004339117
252,w_36,36,weight,0.0042638187
63,w_9,9,weight,0.0041082986
2787,cxx_398,398,diagonal,0.0041078813
1399,czz_199,199,diagonal,0.004049605
2289,w_327,327,weight,0.0039964146
2534,w_362,362,weight,0.0036190262
1499,cxx_214,214,diagonal,0.0035073808
448,w_64,64,weight,0.0032508879
2531,cyy_361,361,diagonal,0.0031366516
1715,w_245,245,weight,0.002907548
2629,cyy_375,375,diagonal,0.0028186573
1504,czz_214,214,diagonal,0.002791538
2622,cyy_374,374,diagonal,0.0027723745
2110,cxz_301,301,off_diagonal,0.002771413
921,cyy_131,131,diagonal,0.0027526997
3472,w_496,496,weight,0.0027105133
3339,w_477,477,weight,0.0027064842
2906,cxx_415,415,diagonal,0.002691681
581,w_83,83,weight,0.0026867446
2607,cxz_372,372,off_diagonal,0.002635642
1831,cyy_261,261,diagonal,0.0026325393
1737,cxx_248,248,diagonal,0.002624192
2520,w_360,360,weight,0.002445912
1103,cyy_157,157,diagonal,0.0024332479
727,czz_103,103,diagonal,0.0024231523
2276,cxx_325,325,diagonal,0.0024062835
1078,w_154,154,weight,0.0023321987
2008,czz_286,286,diagonal,0.0023019942
2135,w_305,305,weight,0.0022715626
1829,cxy_261,261,off_diagonal,0.0022390382
518,w_74,74,weight,0.002234065
1175,czz_167,167,diagonal,0.002148332
1939,w_277,277,weight,0.0021128634
582,cxx_83,83,diagonal,0.002112844
573,czz_81,81,diagonal,0.0021052803
2002,w_286,286,weight,0.0020651142
760,cyy_108,108,diagonal,0.0019645381
542,cxz_77,77,off_diagonal,0.0019118066
2788,cxy_398,398,off_diagonal,0.0018719253
2630,cyz_375,375,off_diagonal,0.0018652696
584,cxz_83,83,off_diagonal,0.0018037393
3388,w_484,484,weight,0.0018013018
2842,w_406,406,weight,0.0017703454
217,w_31,31,weight,0.0017681153
543,cyy_77,77,diagonal,0.0017668952
253,cxx_36,36,diagonal,0.0017086212
119,w_17,17,weight,0.001707792
205,cxy_29,29,off_diagonal,0.0017067457
3482,cxz_497,497,off_diagonal,0.0016870438
2177,w_311,311,weight,0.0016122075
1739,cxz_248,248,off_diagonal,0.0015737739
1409,cxy_201,201,off_diagonal,0.0015596445
1592,cxz_227,227,off_diagonal,0.0015571909
616,w_88,88,weight,0.0015131936
2627,cxy_375,375,off_diagonal,0.0015099895
256,cyy_36,36,diagonal,0.0015037917
2262,cxx_323,323,diagonal,0.0015032168
1099,w_157,157,weight,0.0014896548
2009,w_287,287,weight,0.0014809634
2430,cxx_347,347,diagonal,0.0014693328
1617,w_231,231,weight,0.0014347888
1501,cxz_214,214,off_diagonal,0.0014315527
2628,cxz_375,375,off_diagonal,0.0014177012
2429,w_347,347,weight,0.0014174632
3416,w_488,488,weight,0.0013825728
378,w_54,54,weight,0.0013813267
1395,cxy_199,199,off_diagonal,0.0013791585
3474,cxy_496,496,off_diagonal,0.0013382488
1440,cyz_205,205,off_diagonal,0.0013260454
3220,w_460,460,weight,0.0013179242
644,w_92,92,weight,0.0013099504
3423,w_489,489,weight,0.0013089712
1281,w_183,183,weight,0.0013082882
1708,w_244,244,weight,0.0013060739
2359,w_337,337,weight,0.0012514208
2585,cxy_369,369,off_diagonal,0.0012428685
1777,czz_253,253,diagonal,0.0012306874
2387,w_341,341,weight,0.0012275779
812,w_116,116,weight,0.0012241569
251,czz_35,35,diagonal,0.0012197513
2745,cxx_392,392,diagonal,0.0011988509
1552,cyz_221,221,off_diagonal,0.0011932995
2911,czz_415,415,diagonal,0.0011842175
1413,czz_201,201,diagonal,0.0011586092
1578,cxz_225,225,off_diagonal,0.0011440943
1820,w_260,260,weight,0.0011410048
586,cyz_83,83,off_diagonal,0.0011139158
105,w_15,15,weight,0.0011104618
886,cyy_126,126,diagonal,0.0010981442
1625,cxx_232,232,diagonal,0.0010941521
728,w_104,104,weight,0.0010874515
1393,w_199,199,weight,0.0010817393
1513,cxx_216,216,diagonal,0.0010786159
2982,w_426,426,weight,0.0010701438
1057,w_151,151,weight,0.001046982
2246,czz_320,320,diagonal,0.0010355562
1901,cyy_271,271,diagonal,0.0010117115
3171,w_453,453,weight,0.0009896258
364,w_52,52,weight,0.0009810989
198,cxy_28,28,off_diagonal,0.0009803672
3427,cyy_489,489,diagonal,0.0009788821
3094,w_442,442,weight,0.0009714606
133,w_19,19,weight,0.00096449075
1074,cxz_153,153,off_diagonal,0.0009594704
2532,cyz_361,361,off_diagonal,0.00094603485
2910,cyz_415,415,off_diagonal,0.0009436303
3235,cxx_462,462,diagonal,0.0009430127
1197,w_171,171,weight,0.00093806366
358,cxx_51,51,diagonal,0.00093751674
3143,w_449,449,weight,0.0009259657
276,cxz_39,39,off_diagonal,0.0009249777
476,w_68,68,weight,0.0009141339
1107,cxx_158,158,diagonal,0.00090618845
1770,czz_252,252,diagonal,0.0009059808
3467,cxy_495,495,off_diagonal,0.0008996414
399,w_57,57,weight,0.00089679187
1134,w_162,162,weight,0.000856592
802,cyy_114,114,diagonal,0.00085419975
805,w_115,115,weight,0.0008454032
2268,w_324,324,weight,0.00083950907
2900,cxy_414,414,off_diagonal,0.0008354546
2529,cxy_361,361,off_diagonal,0.00083286874
889,w_127,127,weight,0.0008326387
3287,cyy_469,469,diagonal,0.0008311836
1981,w_283,283,weight,0.0008292561
966,w_138,138,weight,0.0008265724
2919,w_417,417,weight,0.00081818557
1365,w_195,195,weight,0.0008133161
2789,cxz_398,398,off_diagonal,0.0008092564
2537,cxz_362,362,off_diagonal,0.0008002981
3479,w_497,497,weight,0.00079617754
3038,w_434,434,weight,0.0007836891
1410,cxz_201,201,off_diagonal,0.00078165816
290,cxz_41,41,off_diagonal,0.0007789808
514,cxz_73,73,off_diagonal,0.00077697594
652,cxx_93,93,diagonal,0.00076996
2130,cxy_304,304,off_diagonal,0.0007669059
1412,cyz_201,201,off_diagonal,0.0007540025
676,cyy_96,96,diagonal,0.00073853706
924,w_132,132,weight,0.00072696706
3199,w_457,457,weight,0.0007242406
315,w_45,45,weight,0.0007207255
1586,cyy_226,226,diagonal,0.00071518874
1503,cyz_214,214,off_diagonal,0.00071445026
273,w_39,39,weight,0.00071235135
2282,w_326,326,weight,0.00069850415
693,w_99,99,weight,0.0006978849
721,w_103,103,weight,0.0006930668
58,cxy_8,8,off_diagonal,0.0006908008
2426,cyy_346,346,diagonal,0.0006874276
2700,cyz_385,385,off_diagonal,0.00068382896
1848,w_264,264,weight,0.0006833009
2493,cxx_356,356,diagonal,0.0006814492
1386,w_198,198,weight,0.0006753404
1738,cxy_248,248,off_diagonal,0.0006710098
369,cyz_52,52,off_diagonal,0.000669306
