subject,pearson_r,cosine,explained_variance,normalized_L1,rmse,mass_ratio
sub-100053248969,0.654898,0.905553,0.381685,0.395150,0.244916,0.957579
sub-100263562592,0.691098,0.910983,0.440935,0.383743,0.261017,0.963516
sub-100479214233,0.665909,0.911082,0.395616,0.379328,0.238737,0.959978
sub-100544064116,0.679423,0.913683,0.416791,0.376052,0.226302,0.961019
sub-101404752059,0.656531,0.899778,0.391271,0.408168,0.259322,0.958641
sub-101942030871,0.650523,0.902659,0.378394,0.400247,0.261280,0.957888
sub-102730278561,0.665579,0.905604,0.400893,0.394163,0.216623,0.958357
sub-103116472269,0.673391,0.908116,0.412675,0.390167,0.245417,0.959612
sub-103326586557,0.667200,0.904779,0.406076,0.399857,0.260395,0.958155
sub-104230378530,0.689268,0.913114,0.434248,0.377943,0.231797,0.963079
